ID,Grupo de origen,Título,Autor,Empresa,Fecha,Tipo,Elemento RBPS (principal),Elementos RBPS (secundarios),Palabras clave,Descripción,Notas / advertencias
P5,Procedimientos/Normas,Filosofía y Ciclo de Vida de Alarmas (Shell DEP 32.80.10.14),Shell Global Solutions,Shell,N/D,Procedimiento,Procedimientos Operativos,Identificación de Peligros y Análisis de Riesgo (HIRA); Integridad Mecánica y Confiabilidad de Activos,"Alarm Philosophy, DEP 32.80.10.14","Práctica de diseño y engineering (DEP) de Shell que establece la filosofía y el ciclo de vida de gestión de alarmas de proceso, desde su racionalización hasta su mantenimiento continuo.","Fecha del documento interno no es pública. Completar con la fecha real si se dispone de ella."
P6,Procedimientos/Normas,Guía para Estudios de Análisis de Peligros de Proceso (Repsol SCOR G-01),Repsol,Repsol,N/D,Procedimiento,Identificación de Peligros y Análisis de Riesgo (HIRA),Investigación de Incidentes; Gestión del Cambio (MOC),"Process Hazard Analysis, SCOR G-01, HAZOP, HAZID, FMEA, What-If","Guía corporativa que estandariza la metodología a aplicar en los estudios de análisis de peligros de proceso (HAZOP, HAZID, FMEA, What-If) dentro de las instalaciones de Repsol.","Fecha del documento interno no es pública. Completar con la fecha real si se dispone de ella. Ver también P15 (SCOR G-03, Guía de Asignación de SIL) – siguiente paso del ciclo de vida de seguridad tras este PHA."
P7,Procedimientos/Normas,Principios Clave para la Investigación de Incidentes (CCPS),Center for Chemical Process Safety (CCPS) / AIChE,AIChE / CCPS,2019,Norma,Investigación de Incidentes,Revisión de la Gestión y Mejora Continua; Cumplimiento con Normas,"Incident Investigation, CCPS","Publicación de referencia de CCPS que establece los principios clave para conducir investigaciones de incidentes de seguridad de procesos, desde la recolección de evidencia hasta la identificación de causas raíz.","*Fecha aproximada (Guidelines for Investigating Process Safety Incidents, 3ra ed.). Verificar edición exacta."
P8,Procedimientos/Normas,"Norma Regulamentadora NR-13 – Caldeiras, Vasos de Pressão, Tubulações e Tanques Metálicos de Armazenamento",Ministério do Trabalho e Emprego (Brasil),Ministério do Trabalho e Emprego (Brasil),2022,Norma,Integridad Mecánica y Confiabilidad de Activos,Cumplimiento con Normas,"NR-13, Pressure Vessels","Norma regulamentadora brasileña que establece los requisitos mínimos de seguridad para instalación, operación, inspección y mantenimiento de calderas, vasos de presión y tuberías industriales.","Fecha verificada: última rectificação, 2022."
P9,Procedimientos/Normas,Process Safety Management (OSHA 3132),Occupational Safety and Health Administration (OSHA),OSHA – U.S. Department of Labor,2000,Norma,Cumplimiento con Normas,Identificación de Peligros y Análisis de Riesgo (HIRA); Gestión del Cambio (MOC); Entrenamiento y Aseguramiento del Desempeño; Integridad Mecánica y Confiabilidad de Activos; Gestión de Emergencias; Investigación de Incidentes,"Process Safety Management, OSHA 3132","Folleto de OSHA que resume el estándar de Gestión de Seguridad de Procesos (29 CFR 1910.119) para instalaciones que manejan químicos altamente peligrosos, cubriendo sus 14 elementos obligatorios.","Fecha verificada: OSHA Publication 3132, 2000. La fuente original decía ""todos los elementos"": se listaron los 6 más directamente relacionados como secundarios."
P10,Procedimientos/Normas,Procedimiento de Auditoría Interna de SMS (PAG-SMS),Petrobras,Petrobras,N/D,Procedimiento,Auditorías,Cumplimiento con Normas; Revisión de la Gestión y Mejora Continua,"Internal Audit, SMS, PAG-SMS","Procedimiento corporativo de Petrobras que define la metodología de auditoría interna del sistema de gestión de Seguridad, Medio Ambiente y Salud (SMS).","Fecha del documento interno no es pública. Completar con la fecha real si se dispone de ella."
P11,Procedimientos/Normas,Gestión Dinámica de Barreras de Seguridad de Proceso (GDB-SP),Petrobras,Petrobras,N/D,Procedimiento,Integridad Mecánica y Confiabilidad de Activos,Identificación de Peligros y Análisis de Riesgo (HIRA); Medición y Métricas,"Dynamic Barrier Management, GDB-SP","Procedimiento de Petrobras para el monitoreo dinámico del estado de las barreras de seguridad de proceso (salvaguardas), priorizando recursos según el nivel de riesgo actual de cada barrera.","Fecha del documento interno no es pública. Completar con la fecha real si se dispone de ella."
P12,Procedimientos/Normas,Identificación y Gestión de Elementos Críticos de Seguridad Operacional (N-2782),Petrobras,Petrobras,N/D,Procedimiento,Integridad Mecánica y Confiabilidad de Activos,Procedimientos Operativos,"Critical Safety Elements, N-2782","Norma técnica interna de Petrobras que define la identificación y gestión de elementos críticos de seguridad operacional: equipos y salvaguardas cuya falla tiene mayor potencial de consecuencia.","Fecha del documento interno no es pública. Completar con la fecha real si se dispone de ella."
P13,Procedimientos/Normas,Análisis de Riesgo Operacional Digital (ARO Digital),Petrobras,Petrobras,N/D,Procedimiento,Identificación de Peligros y Análisis de Riesgo (HIRA),Procedimientos Operativos; Gestión del Cambio (MOC),"Operational Risk Analysis, ARO Digital","Herramienta y procedimiento digital de Petrobras para el análisis de riesgo operacional en actividades de refino, previo a la ejecución de tareas no rutinarias.","Fecha del documento interno no es pública. Completar con la fecha real si se dispone de ella."
P14,Procedimientos/Normas,Procedimiento de Gestión del Cambio (Management of Change) – Refinería de Joliet,"ExxonMobil (Refinería Joliet, Coordinador OIMS 7.1)",ExxonMobil,2014,Procedimiento,Gestión del Cambio (MOC),Preparación Operacional; Auditorías; Entrenamiento y Aseguramiento del Desempeño,"MOC, Management of Change, eMOC, PSSR, replacement in kind, temporary change, emergency change, parent/child MOC, hot taps, DAA, OIMS 7.1","Procedimiento corporativo completo de gestión del cambio de la refinería de Joliet: define los tipos de cambio (permanente, temporal, de emergencia, organizacional, de interfaces externas), el flujo de trabajo completo en la base de datos electrónica de MOC (inicio, aprobación para progresar, generación de acciones, revisión previa a la puesta en marcha o PSSR, autorización para uso, cierre), los roles y responsabilidades de cada participante, y casos especiales como MOCs padre/hijo para proyectos multietapa y perforaciones en caliente (hot taps). Incluye los criterios para diferenciar un cambio real de un ""reemplazo en especie"" que no requiere gestión formal.","Documento real de ExxonMobil (Refinería Joliet), marzo 2014 – fecha verificada directamente del documento. Comparable con P3 (Chevron MOC 01000) y M1 como referencia cruzada de procedimientos corporativos de MOC en distintas empresas: Chevron usa un formulario más simple, ExxonMobil un flujo de aprobación granular vía base de datos electrónica. Ver también M4 – caso de práctica que aplica la categoría 'Organization Change' definida en este procedimiento."
P15,Procedimientos/Normas,Guía de Asignación de SIL (SCOR G-03),Repsol YPF (Dirección de Seguridad y Medio Ambiente),Repsol,2008,Procedimiento,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos; Gestión del Cambio (MOC),"SIL, SIF, IPL, LOPA, IEC 61511, ALARP, gráficas de riesgo, sistema instrumentado de seguridad, BPCS","Guía metodológica de Repsol YPF para asignar Niveles de Integridad de Seguridad (SIL) a funciones instrumentadas de seguridad (SIF), alineada con IEC 61511. Define un proceso de dos etapas – gráficas de riesgo cualitativas primero, análisis cuantitativo obligatorio para SIL3 después – más una etapa opcional de demostración costo-beneficio (ALARP). Establece las reglas para identificar capas de protección independientes (IPL) válidas y el orden de preferencia entre salvaguardas (diseño inherentemente seguro antes que protección mecánica, antes que instrumentada), con tablas de datos genéricos de frecuencia de fallo para los cálculos.","Documento relacionado: P6 (SCOR G-01, Guía para estudios de PHA) – esta guía es el paso siguiente en el ciclo de vida de seguridad de Repsol: el PHA identifica los escenarios, esta guía asigna el SIL a las funciones instrumentadas derivadas. Referencia otras normas Repsol aún no incorporadas al catálogo (SCOR N-13 Control del proceso de cambio, SCOR N-15 Gestión de los SIS) – posible ampliación futura. Nota de calidad de datos: el cuerpo principal está fechado 28/02/2008 (Revisión 1), pero los Anexos 2 a 5 conservan pie de página de la Revisión 0 (24/09/2007) sin actualizar – verificar si es relevante antes de citarlo como definitivo."
P16,Procedimientos/Normas,Procedimiento de Aislamiento de Energía – Bloqueo y Etiquetado (LOTO) – CMP-SIO-GOM-PG-6.1.B,Axion Energy (Gerencia de Producción / HSE),Axion Energy,2021,Procedimiento,Prácticas de Trabajo Seguro,Integridad Mecánica y Confiabilidad de Activos; Medición y Métricas; Entrenamiento y Aseguramiento del Desempeño,"LOTO, bloqueo y etiquetado, aislamiento de energía, LOTO mecánico, LOTO eléctrico, energía cero, RAE, CDE","Procedimiento corporativo de Axion Energy (Refinería Campana, PCC y Lubricantes, Argentina) que establece los lineamientos generales para el aislamiento de energía mediante bloqueo y etiquetado (LOTO) durante tareas de mantenimiento, inspección o limpieza. Define las distintas formas de energía peligrosa (cinética, eléctrica, hidráulica, neumática, potencial, química, residual, térmica), distingue LOTO mecánico de LOTO eléctrico, y establece un sistema de auditoría con indicadores mensuales de cumplimiento (objetivo >95% de auditorías conformes, <5% con desvíos) para ambos tipos.","Documento real de Axion Energy, Refinería Campana (Argentina) – Rev. 3, 23/04/2021, fecha verificada del propio documento (con historial de revisiones desde 2017). Cierra el vacío del Elemento 9 (Prácticas de Trabajo Seguro), que no tenía ningún representante en la biblioteca. Se referencia de forma genérica en M1, M2 y M3 (permiso de trabajo, bloqueo y etiquetado) sin que existiera como documento propio – a partir de ahora sí existe y se cruzó con los tres."
H1,HAZOP (agrupado),"Estudio HAZOP – Horno de Alimentación, Unidad de Destilación Atmosférica (CDU)",Equipo de Ingeniería de Procesos (ejercicio),Refinería Talara. Petroperu,2017,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos; Gestión de Emergencias; Procedimientos Operativos,"furnace tube rupture, crude spray, pool fire, coke formation, cavitation, low flow, high temperature","Estudio HAZOP del horno de alimentación de la CDU: ruptura de tubos con derrame y fuego de charco, formación de coque por temperatura de alimentación >360°C, cavitación por bajo caudal (<15 bbl/h) y ruptura por pérdida de presión. Recomienda SIS de alta temperatura y bajo flujo, y mayor frecuencia de lectura operativa.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Ver también L1 (estudio LOPA cuantitativo de este mismo escenario). Ver también M1 (Estudio MOC derivado de este mismo escenario – mismo SIS SIL 2 y mismo TMEL)."
H2,HAZOP (agrupado),"Estudio HAZOP – Sistema de Suministro de Hidrógeno, Unidad de Hidrotratamiento",Equipo de Ingeniería de Procesos (ejercicio),Refinería Lujan de Cuyo. YPF,2020,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos; Cumplimiento con Normas,"hydrogen partial pressure loss, runaway exotherm, H2S contamination, high reactor pressure, moisture","Estudio HAZOP del sistema de suministro de H2: pérdida de presión parcial con riesgo de reacción exotérmica, contaminación con H2S, sobrepresión del reactor (>140 bar) y humedad excesiva (>20 ppm). Recomienda redundancia de válvulas, interlocks de aislamiento y analizadores en línea.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Ver también L2 (estudio LOPA cuantitativo de este mismo escenario)."
H3,HAZOP (agrupado),"Estudio HAZOP – Compresor de Reciclo, Unidad de Hidrotratamiento",Equipo de Ingeniería de Procesos (ejercicio),Refinería Luján de Cuyo YPF,2021,HAZOP,Integridad Mecánica y Confiabilidad de Activos,Gestión de Emergencias,"hydrogen compressor seal failure, jet fire","Estudio HAZOP del compresor de reciclo de hidrógeno, centrado en la falla de sellos mecánicos con riesgo de fuego tipo jet. Recomienda reducir el intervalo de reemplazo de sellos a 18 meses y asegurar redundancia SIL 2 en la detección de hidrógeno.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Ver también L3 (estudio LOPA cuantitativo de este mismo escenario)."
H4,HAZOP (agrupado),"Estudio HAZOP – Condensador, Unidad de Destilación al Vacío",Equipo de Ingeniería de Procesos (ejercicio),Refinería (ejercicio académico),2022,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos,"cooling water failure, vacuum loss","Estudio HAZOP del condensador de la unidad de destilación al vacío: pérdida de vacío por falla en el agua de enfriamiento. Recomienda automatizar el bypass de agua de enfriamiento y pruebas periódicas de la bomba de vacío.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Ver también L4 (estudio LOPA cuantitativo de este mismo escenario)."
H5,HAZOP (agrupado),"Estudio HAZOP – Circulación de Ácido, Unidad de Alquilación",Equipo de Ingeniería de Procesos (ejercicio),Refinería Dock Sud Raizen,2023,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos,"acid flow stops, polymerisation, acid temp runaway","Estudio HAZOP de la circulación de ácido de la unidad de alquilación: riesgo de polimerización por detención del flujo y de reacción exotérmica por temperatura >25°C. Recomienda SIS de bajo flujo con bypass automático de enfriador y válvula de descarga de emergencia.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración."
H6,HAZOP (agrupado),"Estudio HAZOP – Tambor de Coque, Unidad de Coquización Retardada",Equipo de Ingeniería de Procesos (ejercicio),Refinería La Plata YPF,2024,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Procedimientos Operativos; Entrenamiento y Aseguramiento del Desempeño,"depressurisation early, operator error, low N2 purge flow","Estudio HAZOP del tambor de coque: despresurización prematura por error operativo y bajo flujo de purga con nitrógeno. Recomienda permisivo de SIS para la secuencia de aislamiento, revisión de procedimiento y switchover automático a línea de respaldo.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración."
H7,HAZOP (agrupado),"Estudio HAZOP – Regenerador de Catalizador, Unidad de Craqueo Catalítico (FCC)",Equipo de Ingeniería de Procesos (ejercicio),Refinería Campana AXION,2025,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos; Cumplimiento con Normas,"regenerator temp runaway combustion, catalyst circulation low, wrong catalyst batch","Estudio HAZOP del regenerador de catalizador FCC: combustión descontrolada por temperatura >750°C, baja circulación de catalizador (<150 t/h) y recepción de lote de catalizador incorrecto. Recomienda SIS de alta temperatura (SIL 3), compresor de respaldo y control de calidad en línea.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración."
H8,HAZOP (agrupado),"Estudio HAZOP – Condensador de Cabeza, Columna Atmosférica (CDU)",Equipo de Ingeniería de Procesos (ejercicio),Refinería REVAP Petrobras,2019,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos,"overhead condenser fouling, high pressure","Estudio HAZOP del condensador de cabeza de la columna atmosférica: ensuciamiento del condensador y consecuente alta presión. Recomienda alarmas de presión y bypass automático de agua de enfriamiento.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración."
H9,HAZOP (agrupado),"Estudio HAZOP – Control de Alimentación, Columna de Vacío",Equipo de Ingeniería de Procesos (ejercicio),Refinería Cartagena Ecopetrol,2020,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos,"vacuum column feed failure","Estudio HAZOP del sistema de control de alimentación de la columna de vacío, centrado en la falla de alimentación. Recomienda SIS de flujo mínimo con parada controlada.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración."
H10,HAZOP (agrupado),"Estudio HAZOP – Stripper Lateral (Side Stripper), CDU",Equipo de Ingeniería de Procesos (ejercicio),Refinería Cartagena Ecopetrol,2021,HAZOP,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos; Procedimientos Operativos,"side stripper steam excess","Estudio HAZOP del stripper lateral de la CDU, centrado en el exceso de vapor de despojo. Recomienda regulador redundante y alarmas de nivel adicionales.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración."
L1,LOPA,"Estudio LOPA – Ruptura de Tubos del Horno, Unidad de Destilación Atmosférica (CDU)",Equipo de Ingeniería de Procesos (ejercicio),Refinería Talara. Petroperu,2018,LOPA,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos; Procedimientos Operativos,"LOPA, furnace tube rupture, TMEL, SIL 2, IPL, PFD, high temperature trip","Análisis LOPA cuantitativo del escenario de ruptura de tubos del horno de alimentación de la CDU. Evalúa 5 capas de protección independientes (control de proceso, integridad mecánica, SIS de alta temperatura SIL 2, válvula de alivio, intervención del operador) contra un TMEL de 10-4/año. Concluye que el SIS SIL 2 de alta temperatura es indispensable para cumplir el objetivo de riesgo; el programa de inspección UT anual y la válvula de alivio son barreras críticas que no pueden omitirse.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Documento relacionado: H1 (Estudio HAZOP de este mismo escenario – la LOPA cuantifica un riesgo que el HAZOP identificó cualitativamente). Ver también M1 (Estudio MOC derivado de este mismo escenario – mismo SIS SIL 2 y mismo TMEL)."
L2,LOPA,"Estudio LOPA – Pérdida de Presión Parcial de Hidrógeno, Reactor de Hidrotratamiento",Equipo de Ingeniería de Procesos (ejercicio),Refinería Lujan de Cuyo YPF,2019,LOPA,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos; Gestión de Emergencias,"LOPA, hydrogen partial pressure loss, runaway exotherm, TMEL, IPL, PFD, SIS","Análisis LOPA del escenario de pérdida de presión parcial de H2 en el reactor de hidrotratamiento, con riesgo de reacción exotérmica descontrolada tras la readmisión súbita de hidrógeno. Evalúa monitoreo de presión (BPCS), retroalimentación de posición de válvula, disparo por SIS y válvula de alivio como capas de protección independientes, contra un TMEL de 10-4/año.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Documento relacionado: H2 (Estudio HAZOP de este mismo escenario)."
L3,LOPA,"Estudio LOPA – Falla de Sellos del Compresor de Reciclo de Hidrógeno",Equipo de Ingeniería de Procesos (ejercicio),Refinería Lujan de Cuyo YPF,2020,LOPA,Integridad Mecánica y Confiabilidad de Activos,Identificación de Peligros y Análisis de Riesgo (HIRA); Gestión de Emergencias,"LOPA, compressor seal failure, hydrogen leak, jet fire, TMEL, SIL 2, H2 detection","Análisis LOPA de la falla catastrófica de sellos del compresor de reciclo de hidrógeno, con riesgo de fuego tipo jet por fuga de hidrógeno a alta presión. Concluye que la detección de H2 SIL 2 con parada de emergencia es obligatoria para cumplir el TMEL de 10-4/año (riesgo de fatalidad), y recomienda reducir el intervalo de reemplazo de sellos de 2 años a 18 meses.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Documento relacionado: H3 (Estudio HAZOP de este mismo escenario)."
L4,LOPA,"Estudio LOPA – Falla de Agua de Enfriamiento del Condensador, Destilación al Vacío",Equipo de Ingeniería de Procesos (ejercicio),Refinería La Plata YPF,2021,LOPA,Identificación de Peligros y Análisis de Riesgo (HIRA),Integridad Mecánica y Confiabilidad de Activos,"LOPA, cooling water failure, vacuum loss, tower overpressure, TMEL, IPL, PFD","Análisis LOPA de la falla del agua de enfriamiento del condensador de la unidad de destilación al vacío, con riesgo de pérdida de vacío y sobrepresión de la columna. Evalúa monitoreo de temperatura (BPCS), bypass automático de agua de respaldo y válvula de alivio de la columna como capas de protección, contra un TMEL de 10-4/año. Nota: el archivo de origen entregado corta el contenido dentro del IPL-3 – verificar si falta contenido en el .docx original antes de tomar el análisis como definitivo.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Documento relacionado: H4 (Estudio HAZOP de este mismo escenario)."
M1,MOC,"Gestión del Cambio (MOC) – Sustitución del Sistema de Control de Temperatura del Horno, Unidad de Destilación Atmosférica (CDU)",Equipo de Ingeniería de Procesos (ejercicio),Refinería REDUC Petrobras,2022,MOC,Gestión del Cambio (MOC),Identificación de Peligros y Análisis de Riesgo (HIRA); Integridad Mecánica y Confiabilidad de Activos; Preparación Operacional,"MOC, Management of Change, PSSR, Pre-Startup Safety Review, SIS, redundancia 1oo2, DCS, LOTO","Caso completo de Gestión del Cambio (MOC) para la sustitución del controlador analógico de temperatura del horno de la CDU por un sistema digital con redundancia 1oo2 integrado al DCS. Cubre el ciclo completo: evaluación de riesgo del cambio (HAZOP específico del nodo + mini-LOPA), aprobación multidisciplinaria contra la política corporativa de MOC, ejecución con permisos de trabajo y bloqueo/etiquetado (LOTO), revisión previa a la puesta en marcha (PSSR) y revisión de eficacia a 3 meses post-implementación, que registró una reducción del 40% en la variabilidad térmica del horno manteniendo el riesgo dentro del TMEL establecido.","Ejercicio de práctica (unidad/refinería genérica) – sin empresa real. Asignar fecha real de elaboración. Documento relacionado: H1 (HAZOP) y L1 (LOPA) del mismo nodo – mismo SIS SIL 2 y mismo TMEL (~10-4/año). También referencia P3 (Chevron MOC 01000) como política corporativa aplicada para la aprobación del cambio."
